Year,Month,Sea Ice Pixels,Ocean Pixels,Ocean + Ice Pixels,Land Pixels,Coast Pixels,Sea Ice Area (km²),Sea Ice Area (Million km²),Sea Ice (%)
2012,May,18803,8083,26886,25776,2850,12001419.558921695,12.001419558921695,69.9360261846314
2012,June,16141,10745,26886,25776,2850,10359020.558906153,10.359020558906153,60.03496243398051
2012,July,12206,14680,26886,25776,2850,7906327.58702535,7.90632758702535,45.39909246447966
2012,August,7202,19684,26886,25776,2850,4710475.44264506,4.71047544264506,26.78717548166332
2012,September,5529,21357,26886,25776,2850,3629162.3130891784,3.6291623130891786,20.56460611470654
2013,March,20025,6861,26886,25776,2850,12760773.937049966,12.760773937049967,74.48114260209775
2013,April,19952,6934,26886,25776,2850,12719998.918091545,12.719998918091544,74.20962582756825
2013,May,18790,8096,26886,25776,2850,12003085.518822942,12.003085518822942,69.88767388231794
2013,June,17039,9847,26886,25776,2850,10927984.84553834,10.92798484553834,63.37499070148033
2013,July,13001,13885,26886,25776,2850,8407939.816178411,8.407939816178411,48.35602172134196
2013,August,9363,17523,26886,25776,2850,6100159.924509026,6.100159924509026,34.82481588931042
2013,September,8207,18679,26886,25776,2850,5353179.267113043,5.353179267113043,30.525180391281708
2014,March,19623,7263,26886,25776,2850,12503936.047818977,12.503936047818977,72.98594063825038
2014,April,19698,7188,26886,25776,2850,12561036.632379968,12.561036632379968,73.26489622852041
2014,May,18550,8336,26886,25776,2850,11874706.497123426,11.874706497123427,68.99501599345385
2014,June,16707,10179,26886,25776,2850,10720972.496770848,10.720972496770848,62.14014728855166
2014,July,12691,14195,26886,25776,2850,8223212.149321771,8.223212149321771,47.20300528155917
2014,August,9551,17335,26886,25776,2850,6223593.799931476,6.223593799931476,35.52406456892063
2014,September,8103,18783,26886,25776,2850,5292653.505092359,5.2926535050923595,30.138361972773936
2015,March,19547,7339,26886,25776,2850,12467116.668290481,12.467116668290481,72.70326564011009
2015,April,19241,7645,26886,25776,2850,12272947.762772214,12.272947762772214,71.56512683180839
2015,May,18359,8527,26886,25776,2850,11745336.720043868,11.745336720043868,68.28460909023283
2015,June,16296,10590,26886,25776,2850,10467897.354930649,10.467897354930649,60.611470653871905
2015,July,13230,13656,26886,25776,2850,8551649.236947697,8.551649236947696,49.20776612363312
2015,August,8670,18216,26886,25776,2850,5653861.441670949,5.653861441670949,32.247266235215356
2015,September,7150,19736,26886,25776,2850,4684008.05812772,4.68400805812772,26.59376627240943
2016,March,19120,7766,26886,25776,2850,12187813.294840243,12.187813294840243,71.11507847950607
2016,April,19088,7798,26886,25776,2850,12174750.551294819,12.174750551294819,70.99605742765752
2016,May,17345,9541,26886,25776,2850,11116403.43682776,11.11640343682776,64.51312950978205
2016,June,15510,11376,26886,25776,2850,9971780.492538475,9.971780492538475,57.688016067842
2016,July,12396,14490,26886,25776,2850,8026224.940817948,8.026224940817949,46.10577995983039
2016,August,8562,18324,26886,25776,2850,5592834.140953239,5.592834140953239,31.845570185226514
2016,September,7233,19653,26886,25776,2850,4738291.828169929,4.738291828169928,26.9024771256416
2017,March,19370,7516,26886,25776,2850,12363164.57346747,12.36316457346747,72.04493044707283
2017,April,19302,7584,26886,25776,2850,12326257.971264135,12.326257971264136,71.79201071189468
2017,May,18350,8536,26886,25776,2850,11756381.52911868,11.756381529118679,68.25113441940043
2017,June,16335,10551,26886,25776,2850,10498942.213726047,10.498942213726048,60.75652756081232
2017,July,12739,14147,26886,25776,2850,8251624.20448992,8.25162420448992,47.381536859331995
2017,August,8426,18460,26886,25776,2850,5507321.00285632,5.50732100285632,31.339730714870196
2017,September,7474,19412,26886,25776,2850,4894713.139723264,4.8947131397232635,27.798854422375957
2018,March,19242,7644,26886,25776,2850,12280389.573289476,12.280389573289476,71.56884623967863
2018,April,18989,7897,26886,25776,2850,12140602.873397037,12.140602873397038,70.62783604850108
2018,May,17916,8970,26886,25776,2850,11479602.196214844,11.479602196214843,66.63691140370453
2018,June,16012,10874,26886,25776,2850,10287249.18004269,10.28724918004269,59.55515881871606
2018,July,13094,13792,26886,25776,2850,8452935.757762244,8.452935757762244,48.7019266532768
2018,August,8628,18258,26886,25776,2850,5620597.677270478,5.620597677270478,32.09105110466414
2018,September,7402,19484,26886,25776,2850,4834749.186679592,4.834749186679592,27.53105705571673
2019,March,19295,7591,26886,25776,2850,12329108.1990427,12.3291081990427,71.7659748568028
2019,April,18851,8035,26886,25776,2850,12060827.073231969,12.06082707323197,70.11455776240423
2019,May,17871,9015,26886,25776,2850,11460336.938484374,11.460336938484375,66.4695380495425
2019,June,15946,10940,26886,25776,2850,10258483.682839764,10.258483682839763,59.309677899278434
2019,July,11887,14999,26886,25776,2850,7714617.0299692135,7.714617029969213,44.212601353864464
2019,August,7669,19217,26886,25776,2850,5019384.140642183,5.019384140642183,28.524138957078033
2019,September,6794,20092,26886,25776,2850,4451525.116218229,4.451525116218229,25.26965707059436
2020,March,19688,7198,26886,25776,2850,12565673.00540327,12.56567300540327,73.22770214981776
2020,April,19283,7603,26886,25776,2850,12328704.441400714,12.328704441400713,71.7213419623596
2020,May,18353,8533,26886,25776,2850,11757639.313617539,11.757639313617538,68.26229264301124
2020,June,15894,10992,26886,25776,2850,10224393.201533651,10.224393201533651,59.11626869002454
2020,July,11507,15379,26886,25776,2850,7459641.207015484,7.459641207015483,42.79922636316299
2020,August,7977,18909,26886,25776,2850,5205484.847002668,5.205484847002668,29.669716581120287
2020,September,6275,20611,26886,25776,2850,4100735.638854115,4.100735638854115,23.339284385925758
2021,March,19806,7080,26886,25776,2850,12630705.664849337,12.630705664849337,73.66659227850926
2021,April,19418,7468,26886,25776,2850,12387778.172585417,12.387778172585417,72.22346202484565
2021,May,18641,8245,26886,25776,2850,11925619.52785011,11.92561952785011,69.33348210964814
2021,June,16324,10562,26886,25776,2850,10487813.017855005,10.487813017855006,60.715614074239376
2021,July,11906,14980,26886,25776,2850,7718599.669634716,7.718599669634716,44.283270103399545
2021,August,8856,18030,26886,25776,2850,5767963.550475381,5.767963550475382,32.93907609908502
2021,September,7705,19181,26886,25776,2850,5032372.611171074,5.032372611171074,28.658037640407645
2022,March,19903,6983,26886,25776,2850,12681458.940964,12.681458940964001,74.02737484192517
2022,April,19879,7007,26886,25776,2850,12675325.550355896,12.675325550355897,73.93810905303876
2022,May,18950,7936,26886,25776,2850,12124256.128143804,12.124256128143804,70.48277914156066
2022,June,16504,10382,26886,25776,2850,10599897.947244585,10.599897947244585,61.38510749088745
2022,July,13153,13733,26886,25776,2850,8506804.414374422,8.506804414374422,48.921371717622556
2022,August,9379,17507,26886,25776,2850,6111387.312137002,6.111387312137002,34.884326415234696
2022,September,7569,19317,26886,25776,2850,4955025.744107662,4.955025744107662,28.152198170051328
2023,March,19728,7158,26886,25776,2850,12583176.645823546,12.583176645823546,73.37647846462843
2023,April,19578,7308,26886,25776,2850,12495777.002843617,12.495777002843617,72.81856728408837
2023,May,18787,8099,26886,25776,2850,12012030.800486414,12.012030800486414,69.87651565870713
2023,June,16699,10187,26886,25776,2850,10723882.852718264,10.723882852718264,62.11039202558952
2023,July,13302,13584,26886,25776,2850,8614029.919179775,8.614029919179774,49.475563490292345
2023,August,8573,18313,26886,25776,2850,5601299.149630129,5.60129914963013,31.886483671799446
2023,September,6725,20161,26886,25776,2850,4412257.576603633,4.412257576603634,25.01301792754593
2024,March,19982,6904,26886,25776,2850,12740082.068667307,12.740082068667308,74.32120806367625
2024,April,20061,6825,26886,25776,2850,12796736.752363984,12.796736752363984,74.61504128542737
2024,May,18943,7943,26886,25776,2850,12110439.138846599,12.110439138846598,70.4567432864688
2024,June,16692,10194,26886,25776,2850,10724172.196649684,10.724172196649684,62.08435617049766
2024,July,12793,14093,26886,25776,2850,8268811.329623503,8.268811329623503,47.582384884326416
2024,August,8101,18785,26886,25776,2850,5289066.088614094,5.289066088614094,30.1309231570334
2024,September,6688,20198,26886,25776,2850,4383537.021420297,4.383537021420297,24.875399836346055
2025,March,19481,7405,26886,25776,2850,12424044.332769696,12.424044332769697,72.45778472067246
2025,April,19457,7429,26886,25776,2850,12419732.043508152,12.419732043508152,72.36851893178607
2025,May,18411,8475,26886,25776,2850,11781361.314248703,11.781361314248704,68.47801829948672
2025,June,15713,11173,26886,25776,2850,10099681.281189675,10.099681281189675,58.44305586550621
2025,July,12417,14469,26886,25776,2850,8036014.217393286,8.036014217393285,46.183887525106
2025,August,8386,18500,26886,25776,2850,5468268.854315484,5.468268854315484,31.19095440005951
2025,September,7364,19522,26886,25776,2850,4818924.495720763,4.818924495720763,27.38971955664658
2026,March,19413,7473,26886,25776,2850,12378628.43795483,12.37862843795483,72.20486498549431
2026,April,19090,7796,26886,25776,2850,12185785.475302955,12.185785475302955,71.00349624339806
2026,May,17930,8956,26886,25776,2850,11480293.161784869,11.480293161784868,66.68898311388827
2026,June,15820,11066,26886,25776,2850,10173119.213179078,10.173119213179078,58.84103250762479
